Product,Price
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹11,999"
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV with 1.5 GB RAM and Dolby Audio (2023 Model),"₹12,999"
SAMSUNG 80 cm (32 Inch) HD Ready LED Smart Tizen TV with Bezel-free Design,"₹13,990"
LG 80 cm (32 inch) HD Ready LED Smart WebOS TV,"₹12,990"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹11,999"
OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹15,999"
iFFALCON by TCL 80.04 cm (32 inch) HD Ready LED Smart Android TV with Bezel-Less design & 24W Speaker,"₹8,999"
Mi X Series 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV,"₹61,999"
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV with 1.5 GB RAM and Dolby Audio (2023 Model),"₹12,999"
OnePlus Y1S 101 cm (40 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹21,999"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹42,999"
Mi A series 100 cm (40 inch) Full HD LED Smart Google TV,"₹22,999"
"LG UQ7500 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition with Filmmaker Mode, AI Sound...","₹28,990"
iFFALCON by TCL U62 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Bezel-Less Design and Dolb...,"₹19,999"
Thomson Alpha 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 W Sound Output & Bezel-Less Design,"₹8,499"
OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV with Android 11 and Bezel-Less Frame,"₹24,999"
"Compaq 108 cm (43 inch) Full HD LED Smart Android TV with HDR10+, ChromeCast Ready , Dolby Audio Surro...","₹15,999"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,849"
SAMSUNG Crystal 4K iSmart Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with Black (2023 Mo...,"₹28,990"
Infinix Y1 80 cm (32 inch) HD Ready LED Smart Linux TV with Wall Mount,"₹8,699"
"Compaq 109 cm (43 inch) Full HD LED Smart Coolita TV with Dolby Audio,WCG+,Screen Casting,Experience S...","₹13,999"
TOSHIBA 80 cm (32 inch) HD Ready LED Smart Android TV with DTS X (2023 Model),"₹12,499"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹40,990"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499"
